GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Logística — Pruebas de Integración y Sistema,edu.unisabana.tyvs.logistica.application.usecase,ServicioTarifa,44,357,13,21,9,46,14,11,1,7
Logística — Pruebas de Integración y Sistema,edu.unisabana.tyvs.logistica.infrastructure.persistence,CotizacionRecord,9,36,0,0,3,9,3,5,3,5
Logística — Pruebas de Integración y Sistema,edu.unisabana.tyvs.logistica.infrastructure.persistence,CotizacionRepository,5,163,6,8,0,32,6,8,0,7
Logística — Pruebas de Integración y Sistema,edu.unisabana.tyvs.logistica.domain.model,CotizacionEstado,0,45,0,0,0,8,0,1,0,1
Logística — Pruebas de Integración y Sistema,edu.unisabana.tyvs.logistica.domain.model,SolicitudEnvio,0,27,0,0,0,10,0,5,0,5
Logística — Pruebas de Integración y Sistema,edu.unisabana.tyvs.logistica.domain.model,TipoEnvio,0,21,0,0,0,4,0,1,0,1
Logística — Pruebas de Integración y Sistema,edu.unisabana.tyvs.logistica.domain.model,Cotizacion,0,32,0,0,0,9,0,6,0,6
Logística — Pruebas de Integración y Sistema,edu.unisabana.tyvs.logistica,LogisticaApplication,5,3,0,0,2,1,1,1,1,1
Logística — Pruebas de Integración y Sistema,edu.unisabana.tyvs.logistica.delivery.rest,CotizacionRequestDTO,0,31,0,0,0,9,0,9,0,9
Logística — Pruebas de Integración y Sistema,edu.unisabana.tyvs.logistica.delivery.rest,CotizacionController,9,47,0,2,3,8,0,3,0,2
Logística — Pruebas de Integración y Sistema,edu.unisabana.tyvs.logistica.delivery.rest,CotizacionResponseDTO,0,18,0,0,0,6,0,4,0,4
Logística — Pruebas de Integración y Sistema,edu.unisabana.tyvs.logistica.config,LogisticaConfig,0,19,0,0,0,6,0,3,0,3
